Time,Float_Position,Float_Velocity,Float_Acceleration,Spar_Position,Spar_Velocity,Spar_Acceleration
80.87,-3.94138472146436,-0.333435559712044,-0.00472282790291809,-3.90763470234802,-0.101757087611162,0.0256665248080779
80.88,-3.94471934880636,-0.333493489769155,-0.00674348027683554,-3.9086510025631,-0.10150423084491,0.0249034298717758
80.89,-3.94805465613492,-0.333571522716467,-0.00874063936946962,-3.90966481227131,-0.101258977050399,0.0241458790639043
80.9,-3.95139084329673,-0.33366942135422,-0.0107138944172316,-3.91067620722295,-0.101021270128397,0.0233940030811917
80.91,-3.95472810774596,-0.333786944379055,-0.0126628359279926,-3.91168526260081,-0.100791052670974,0.0226479329200603
80.92,-3.95806664450325,-0.333923846396097,-0.0145870555409136,-3.91269205300705,-0.100568265958152,0.021907799947882
80.93,-3.96140664611494,-0.334079877929675,-0.0164861458933674,-3.91369665245003,-0.100352849953869,0.0211737359710188
80.94,-3.9647483026122,-0.334254785432746,-0.0183597004952966,-3.91469913433116,-0.100144743301275,0.0204458732995097
80.95,-3.96809180147043,-0.334448311295107,-0.0202073136112565,-3.91569957143166,-0.0999438833174049,0.0197243448082966
80.96,-3.97143732756866,-0.334660193850458,-0.0220285801503943,-3.91669803589925,-0.0997502059872465,0.0190092839948861
80.97,-3.97478506314897,-0.334890167382413,-0.0238230955646582,-3.91769459923485,-0.0995636459572616,0.0183008250333226
80.98,-3.97813518777609,-0.335137962129535,-0.025590455755463,-3.91868933227907,-0.0993841365283803,0.0175991028243792
80.99,-3.9814878782969,-0.335403304289476,-0.0273302569890259,-3.91968230519882,-0.0992116096485148,0.016904253041879
81,-3.98484330880008,-0.33568591602232,-0.0290420958206454,-3.92067358747365,-0.0990459959046304,0.0162164121750298
81.01,-3.98820165057573,-0.335985515453212,-0.0307255690280675,-3.92166324788218,-0.098887224514413,0.0155357175667142
81.02,-3.99156307207506,-0.336301816674366,-0.0323802735541886,-3.92265135448829,-0.0987352233175753,0.0148623074476291
81.03,-3.99492773887002,-0.336634529746553,-0.0340058064592642,-3.92363797462734,-0.0985899187668423,0.0141963209662086
81.04,-3.99829581361302,-0.33698336070015,-0.0356017648827593,-3.92462317489226,-0.0984512359186601,0.0135378982142655
81.05,-4.00166745599665,-0.337348011535862,-0.0371677460150522,-3.92560702111951,-0.0983190984236693,0.0128871802482717
81.06,-4.00504282271333,-0.337728180225216,-0.0387033470791081,-3.92658957837498,-0.0981934285169883,0.0122443091062243
81.07,-4.00842206741508,-0.338123560710906,-0.0402081653222351,-3.9275709109398,-0.0980741470083504,0.0116094278200508
